Station,Location,Capacity (MW),Wind turbine manufacturer,In-service date
FFC Energy Wind Project,"Jhimpir, Sindh",49.5,Nordex,2013
Zorlu Enerji Pakistan,"Jhimpir, Sindh",56.4,Vestas,2013
Three Gorges Pvt Ltd,"Jhimpir, Sindh",150,Goldwind,2014
Foundation Wind Energy Pvt Ltd,"Gharo, Sindh",100,Nordex,2015
Sapphire Wind Power Pvt Ltd,"Jhimpir, Sindh",52.8,General Electric,2015
Yunus Energy Ltd,"Jhimpir, Sindh",50,Nordex,2016
Metro Wind Power Co Ltd,"Jhimpir, Sindh",50,Nordex,2016
Tenaga Generai Ltd,"Gharo, Sindh",49.5,General Electric,2016
Gul Ahmed Wind Power Ltd,"Jhimpir, Sindh",50,Nordex,2016
Master Wind Energy Ltd,"Jhimpir, Sindh",52.8,General Electric,2016
ACT Wind Pvt Ltd,"Jhimpir, Sindh",30,Goldwind,2016
HydroChina Dawood Wind Power Project,"Gharo, Sindh",50,Ming Yang,2017
Sachal Energy Wind Farm,"Jhimpir, Sindh",50,Goldwind,2017
United Energy Pakistan Wind Ltd,"Jhimpir, Sindh",100,Goldwind,2017
Hawa Energy Ltd,"Jhimpir, Sindh",50,General Electric,2018
Burj Capital Jhimpir Wind Power Limited,"Jhimpir, Sindh",50,General Electric,2018
Artistic Energy Pvt. Ltd,"Jhimpir, Sindh",49.3,General Electric,2018
Tricon Boston Corporation,"Jhimpir, Sindh",150,General Electric,2018
Zephyr Power Ltd,"Gharo, Sindh",50,Siemens Gamesa,2019
