Station,Location,Capacity (MW),In-service Date,Coal Source
Master power pvt Limited,"Raiwand, punjab",20,2016,Mixed
Sitara Chemical Industries Ltd,"Faisalabad, Punjab",40,2016,-
Fauji Fertilizer Power Plant,"Karachi, Sindh",118,2017,Mixed
Sahiwal Coal Power Project,"Sahiwal, Punjab",1320,2017,Imported
Maple Leaf Power Ltd,"Mianwali, Punjab",40,2017,Imported
Port Qasim Coal Power Project,"Karachi, Sindh",1320,2017,Imported
DG Cement Coal Power Project,"DG Khan, Punjab",30,2017,Domestic
Hub Coal Power Project,"Hub, Balochistan",1320,2018,Imported
Engro Powergen Thar,"Tharparkar, Sindh",660,2019,Domestic
