Station,Community,Capacity (MW),Location,Year in Service
(KANUPP-1),"Karachi, Sindh",85,24°50?41?N 66°47?20?E,1972
(CHASNUPP-1),"Mianwali, Punjab",325,32°23?20?N 71°27?45.5?E,2000
(CHASNUPP-2),"Mianwali, Punjab",320,32°23?20?N 71°27?45.5?E,2011
(CHASNUPP-3),"Mianwali, Punjab",340,32°23?20?N 71°27?45.5?E,2016
(CHASNUPP-4),"Mianwali, Punjab",340,32°23?20?N 71°27?45.5?E,2017
(KANUPP-2),"Karachi, Sindh",1100,24°50?41?N 66°47?20?E,2021
