Station,Community,Location,Capacity (MW),Status
Quaid-e-Azam Solar Park,"Bahawalpur, Punjab",29°19?09?N 71°49?25?E,400,2016
OurSun Solar Power Plant[45],"Gharo, Sindh","24°72'15.4""N 67°53'36.6""E",50,2018
Gharo Solar Power Plant,"Gharo, Sindh","24°42'56.8""N 67°33'44.7""E",50,2020
Harappa Solar Pvt. Ltd,"Sahiwal, Punjab","30°34'46.9""N 72°53'43.0""E",18,2017
AJ Power Pvt. Ltd.,"Jhelum, Punjab",,12,2017
Eni Bhit Solar [46],"Bhit, Sindh",,10,2019
